region_type,location_name,cbsa_code,year_month,delinq_stats_30_89
State,Idaho,16',2013-02,0.02
State,Illinois,17',2013-02,0.03
State,Indiana,18',2013-02,0.04
State,Iowa,19',2013-02,0.02
State,Kansas,20',2013-02,0.03
State,Kentucky,21',2013-02,0.03
State,Louisiana,22',2013-02,0.05
State,Maine,23',2013-02,0.03
State,Maryland,24',2013-02,0.04
State,Massachusetts,25',2013-02,0.03
State,Michigan,26',2013-02,0.03
State,Minnesota,27',2013-02,0.02
State,Mississippi,28',2013-02,0.06
State,Missouri,29',2013-02,0.03
State,Montana,30',2013-02,0.02
State,Nebraska,31',2013-02,0.02
State,Nevada,32',2013-02,0.03
State,New Hampshire,33',2013-02,0.03
State,New Jersey,34',2013-02,0.03
State,New Mexico,35',2013-02,0.03
State,New York,36',2013-02,0.03
State,North Carolina,37',2013-02,0.04
State,North Dakota,38',2013-02,0.01
State,Ohio,39',2013-02,0.03
State,Oklahoma,40',2013-02,0.03
State,Oregon,41',2013-02,0.02
State,Pennsylvania,42',2013-02,0.04
State,Rhode Island,44',2013-02,0.03
State,South Carolina,45',2013-02,0.04
State,South Dakota,46',2013-02,0.02
State,Tennessee,47',2013-02,0.04
State,Texas,48',2013-02,0.04
State,Utah,49',2013-02,0.02
State,Vermont,50',2013-02,0.02
State,Virginia,51',2013-02,0.03
State,Washington,53',2013-02,0.02
State,West Virginia,54',2013-02,0.04
State,Wisconsin,55',2013-02,0.02
State,Wyoming,56',2013-02,0.02
National,United States,-----,2013-03,0.03
State,Alabama,01',2013-03,0.04
State,Alaska,02',2013-03,0.02
State,Arizona,04',2013-03,0.03
State,Arkansas,05',2013-03,0.03
State,California,06',2013-03,0.02
State,Colorado,08',2013-03,0.02
State,Connecticut,09',2013-03,0.03
State,Delaware,10',2013-03,0.04
State,District of Columbia,11',2013-03,0.03
State,Florida,12',2013-03,0.03
State,Georgia,13',2013-03,0.04
State,Hawaii,15',2013-03,0.02
State,Idaho,16',2013-03,0.02
State,Illinois,17',2013-03,0.03
State,Indiana,18',2013-03,0.03
State,Iowa,19',2013-03,0.02
State,Kansas,20',2013-03,0.03
State,Kentucky,21',2013-03,0.03
State,Louisiana,22',2013-03,0.04
State,Maine,23',2013-03,0.03
State,Maryland,24',2013-03,0.03
State,Massachusetts,25',2013-03,0.03
State,Michigan,26',2013-03,0.03
State,Minnesota,27',2013-03,0.02
State,Mississippi,28',2013-03,0.05
State,Missouri,29',2013-03,0.03
State,Montana,30',2013-03,0.02
State,Nebraska,31',2013-03,0.02
State,Nevada,32',2013-03,0.02
State,New Hampshire,33',2013-03,0.03
State,New Jersey,34',2013-03,0.03
State,New Mexico,35',2013-03,0.03
State,New York,36',2013-03,0.03
State,North Carolina,37',2013-03,0.04
State,North Dakota,38',2013-03,0.01
State,Ohio,39',2013-03,0.03
State,Oklahoma,40',2013-03,0.03
State,Oregon,41',2013-03,0.02
State,Pennsylvania,42',2013-03,0.04
State,Rhode Island,44',2013-03,0.03
State,South Carolina,45',2013-03,0.04
State,South Dakota,46',2013-03,0.02
State,Tennessee,47',2013-03,0.04
State,Texas,48',2013-03,0.04
State,Utah,49',2013-03,0.02
State,Vermont,50',2013-03,0.02
State,Virginia,51',2013-03,0.03
State,Washington,53',2013-03,0.02
State,West Virginia,54',2013-03,0.04
State,Wisconsin,55',2013-03,0.02
State,Wyoming,56',2013-03,0.03
National,United States,-----,2013-04,0.03
State,Alabama,01',2013-04,0.04
State,Alaska,02',2013-04,0.02
State,Arizona,04',2013-04,0.02
State,Arkansas,05',2013-04,0.03
State,California,06',2013-04,0.02
State,Colorado,08',2013-04,0.02
State,Connecticut,09',2013-04,0.03
State,Delaware,10',2013-04,0.03
State,District of Columbia,11',2013-04,0.03
State,Florida,12',2013-04,0.03
State,Georgia,13',2013-04,0.04
State,Hawaii,15',2013-04,0.02
State,Idaho,16',2013-04,0.02
State,Illinois,17',2013-04,0.03
State,Indiana,18',2013-04,0.03
State,Iowa,19',2013-04,0.02
State,Kansas,20',2013-04,0.03
State,Kentucky,21',2013-04,0.03
State,Louisiana,22',2013-04,0.04
State,Maine,23',2013-04,0.03
State,Maryland,24',2013-04,0.03
State,Massachusetts,25',2013-04,0.02
State,Michigan,26',2013-04,0.03
State,Minnesota,27',2013-04,0.02
State,Mississippi,28',2013-04,0.05
State,Missouri,29',2013-04,0.03
State,Montana,30',2013-04,0.02
State,Nebraska,31',2013-04,0.02
State,Nevada,32',2013-04,0.02
State,New Hampshire,33',2013-04,0.03
State,New Jersey,34',2013-04,0.03
State,New Mexico,35',2013-04,0.03
State,New York,36',2013-04,0.03
State,North Carolina,37',2013-04,0.04
State,North Dakota,38',2013-04,0.01
State,Ohio,39',2013-04,0.03
State,Oklahoma,40',2013-04,0.03
State,Oregon,41',2013-04,0.02
State,Pennsylvania,42',2013-04,0.03
State,Rhode Island,44',2013-04,0.03
State,South Carolina,45',2013-04,0.04
State,South Dakota,46',2013-04,0.02
State,Tennessee,47',2013-04,0.04
State,Texas,48',2013-04,0.04
State,Utah,49',2013-04,0.02
State,Vermont,50',2013-04,0.02
State,Virginia,51',2013-04,0.03
State,Washington,53',2013-04,0.02
State,West Virginia,54',2013-04,0.04
State,Wisconsin,55',2013-04,0.02
State,Wyoming,56',2013-04,0.02
National,United States,-----,2013-05,0.03
State,Alabama,01',2013-05,0.04
State,Alaska,02',2013-05,0.02
State,Arizona,04',2013-05,0.02
State,Arkansas,05',2013-05,0.03
State,California,06',2013-05,0.02
State,Colorado,08',2013-05,0.02
State,Connecticut,09',2013-05,0.03
State,Delaware,10',2013-05,0.03
State,District of Columbia,11',2013-05,0.03
State,Florida,12',2013-05,0.03
State,Georgia,13',2013-05,0.04
State,Hawaii,15',2013-05,0.02
State,Idaho,16',2013-05,0.02
State,Illinois,17',2013-05,0.03
State,Indiana,18',2013-05,0.03
State,Iowa,19',2013-05,0.02
State,Kansas,20',2013-05,0.03
State,Kentucky,21',2013-05,0.03
State,Louisiana,22',2013-05,0.04
State,Maine,23',2013-05,0.03
State,Maryland,24',2013-05,0.03
State,Massachusetts,25',2013-05,0.03
State,Michigan,26',2013-05,0.03
State,Minnesota,27',2013-05,0.02
State,Mississippi,28',2013-05,0.05
State,Missouri,29',2013-05,0.03
State,Montana,30',2013-05,0.02
State,Nebraska,31',2013-05,0.02
State,Nevada,32',2013-05,0.02
State,New Hampshire,33',2013-05,0.03
State,New Jersey,34',2013-05,0.03
State,New Mexico,35',2013-05,0.03
State,New York,36',2013-05,0.03
State,North Carolina,37',2013-05,0.03
State,North Dakota,38',2013-05,0.02
State,Ohio,39',2013-05,0.03
State,Oklahoma,40',2013-05,0.03
State,Oregon,41',2013-05,0.02
State,Pennsylvania,42',2013-05,0.03
State,Rhode Island,44',2013-05,0.03
State,South Carolina,45',2013-05,0.03
State,South Dakota,46',2013-05,0.02
State,Tennessee,47',2013-05,0.04
State,Texas,48',2013-05,0.04
State,Utah,49',2013-05,0.02
State,Vermont,50',2013-05,0.02
State,Virginia,51',2013-05,0.02
State,Washington,53',2013-05,0.02
State,West Virginia,54',2013-05,0.04
State,Wisconsin,55',2013-05,0.02
State,Wyoming,56',2013-05,0.02
National,United States,-----,2013-06,0.03
State,Alabama,01',2013-06,0.04
State,Alaska,02',2013-06,0.02
State,Arizona,04',2013-06,0.02
State,Arkansas,05',2013-06,0.03
State,California,06',2013-06,0.02
State,Colorado,08',2013-06,0.02
State,Connecticut,09',2013-06,0.03
State,Delaware,10',2013-06,0.03
State,District of Columbia,11',2013-06,0.03
State,Florida,12',2013-06,0.03
State,Georgia,13',2013-06,0.04
State,Hawaii,15',2013-06,0.02
State,Idaho,16',2013-06,0.02
State,Illinois,17',2013-06,0.03
State,Indiana,18',2013-06,0.03
State,Iowa,19',2013-06,0.02
State,Kansas,20',2013-06,0.03
State,Kentucky,21',2013-06,0.03
State,Louisiana,22',2013-06,0.04
State,Maine,23',2013-06,0.03
State,Maryland,24',2013-06,0.03
State,Massachusetts,25',2013-06,0.02
State,Michigan,26',2013-06,0.03
State,Minnesota,27',2013-06,0.02
State,Mississippi,28',2013-06,0.05
State,Missouri,29',2013-06,0.03
State,Montana,30',2013-06,0.02
State,Nebraska,31',2013-06,0.02
State,Nevada,32',2013-06,0.02
State,New Hampshire,33',2013-06,0.03
State,New Jersey,34',2013-06,0.03
State,New Mexico,35',2013-06,0.03
State,New York,36',2013-06,0.03
State,North Carolina,37',2013-06,0.04
State,North Dakota,38',2013-06,0.01
State,Ohio,39',2013-06,0.03
State,Oklahoma,40',2013-06,0.03
State,Oregon,41',2013-06,0.02
State,Pennsylvania,42',2013-06,0.04
State,Rhode Island,44',2013-06,0.03
State,South Carolina,45',2013-06,0.04
State,South Dakota,46',2013-06,0.01
State,Tennessee,47',2013-06,0.04
State,Texas,48',2013-06,0.04
State,Utah,49',2013-06,0.02
State,Vermont,50',2013-06,0.02
State,Virginia,51',2013-06,0.03
State,Washington,53',2013-06,0.02
State,West Virginia,54',2013-06,0.04
State,Wisconsin,55',2013-06,0.02
State,Wyoming,56',2013-06,0.03
National,United States,-----,2013-07,0.03
State,Alabama,01',2013-07,0.04
State,Alaska,02',2013-07,0.02
State,Arizona,04',2013-07,0.02
State,Arkansas,05',2013-07,0.03
State,California,06',2013-07,0.02
State,Colorado,08',2013-07,0.02
State,Connecticut,09',2013-07,0.03
State,Delaware,10',2013-07,0.04
State,District of Columbia,11',2013-07,0.03
State,Florida,12',2013-07,0.03
State,Georgia,13',2013-07,0.04
State,Hawaii,15',2013-07,0.02
State,Idaho,16',2013-07,0.02
State,Illinois,17',2013-07,0.03
State,Indiana,18',2013-07,0.03
State,Iowa,19',2013-07,0.02
State,Kansas,20',2013-07,0.03
State,Kentucky,21',2013-07,0.03
State,Louisiana,22',2013-07,0.04
State,Maine,23',2013-07,0.03
State,Maryland,24',2013-07,0.03
State,Massachusetts,25',2013-07,0.03
State,Michigan,26',2013-07,0.03
State,Minnesota,27',2013-07,0.02
State,Mississippi,28',2013-07,0.06
State,Missouri,29',2013-07,0.03
State,Montana,30',2013-07,0.02
State,Nebraska,31',2013-07,0.02
State,Nevada,32',2013-07,0.02
State,New Hampshire,33',2013-07,0.03
State,New Jersey,34',2013-07,0.03
State,New Mexico,35',2013-07,0.03
State,New York,36',2013-07,0.03
State,North Carolina,37',2013-07,0.04
State,North Dakota,38',2013-07,0.01
State,Ohio,39',2013-07,0.03
State,Oklahoma,40',2013-07,0.03
State,Oregon,41',2013-07,0.02
State,Pennsylvania,42',2013-07,0.04
State,Rhode Island,44',2013-07,0.03
State,South Carolina,45',2013-07,0.04
State,South Dakota,46',2013-07,0.02
State,Tennessee,47',2013-07,0.04
State,Texas,48',2013-07,0.04
State,Utah,49',2013-07,0.02
State,Vermont,50',2013-07,0.02
State,Virginia,51',2013-07,0.03
State,Washington,53',2013-07,0.02
State,West Virginia,54',2013-07,0.04
State,Wisconsin,55',2013-07,0.02
State,Wyoming,56',2013-07,0.03
National,United States,-----,2013-08,0.03
State,Alabama,01',2013-08,0.04
State,Alaska,02',2013-08,0.02
State,Arizona,04',2013-08,0.02
State,Arkansas,05',2013-08,0.04
State,California,06',2013-08,0.02
State,Colorado,08',2013-08,0.02
State,Connecticut,09',2013-08,0.03
State,Delaware,10',2013-08,0.04
State,District of Columbia,11',2013-08,0.02
State,Florida,12',2013-08,0.03
State,Georgia,13',2013-08,0.04
State,Hawaii,15',2013-08,0.02
State,Idaho,16',2013-08,0.02
State,Illinois,17',2013-08,0.03
State,Indiana,18',2013-08,0.03
State,Iowa,19',2013-08,0.02
State,Kansas,20',2013-08,0.02
State,Kentucky,21',2013-08,0.03
State,Louisiana,22',2013-08,0.04
State,Maine,23',2013-08,0.03
State,Maryland,24',2013-08,0.03
State,Massachusetts,25',2013-08,0.03
State,Michigan,26',2013-08,0.03
State,Minnesota,27',2013-08,0.02
State,Mississippi,28',2013-08,0.06
State,Missouri,29',2013-08,0.03
State,Montana,30',2013-08,0.02
State,Nebraska,31',2013-08,0.02
State,Nevada,32',2013-08,0.02
State,New Hampshire,33',2013-08,0.03
State,New Jersey,34',2013-08,0.03
State,New Mexico,35',2013-08,0.03
State,New York,36',2013-08,0.03
State,North Carolina,37',2013-08,0.04
State,North Dakota,38',2013-08,0.01
State,Ohio,39',2013-08,0.03
State,Oklahoma,40',2013-08,0.03
State,Oregon,41',2013-08,0.02
State,Pennsylvania,42',2013-08,0.04
State,Rhode Island,44',2013-08,0.03
State,South Carolina,45',2013-08,0.04
State,South Dakota,46',2013-08,0.02
State,Tennessee,47',2013-08,0.04
State,Texas,48',2013-08,0.04
State,Utah,49',2013-08,0.02
State,Vermont,50',2013-08,0.02
State,Virginia,51',2013-08,0.03
State,Washington,53',2013-08,0.02
State,West Virginia,54',2013-08,0.04
State,Wisconsin,55',2013-08,0.02
State,Wyoming,56',2013-08,0.02
National,United States,-----,2013-09,0.03
State,Alabama,01',2013-09,0.04
State,Alaska,02',2013-09,0.02
State,Arizona,04',2013-09,0.02
State,Arkansas,05',2013-09,0.04
State,California,06',2013-09,0.02
State,Colorado,08',2013-09,0.02
State,Connecticut,09',2013-09,0.03
State,Delaware,10',2013-09,0.03
State,District of Columbia,11',2013-09,0.02
State,Florida,12',2013-09,0.03
State,Georgia,13',2013-09,0.03
State,Hawaii,15',2013-09,0.01
State,Idaho,16',2013-09,0.02
State,Illinois,17',2013-09,0.02
State,Indiana,18',2013-09,0.03
State,Iowa,19',2013-09,0.02
State,Kansas,20',2013-09,0.02
State,Kentucky,21',2013-09,0.03
State,Louisiana,22',2013-09,0.04
State,Maine,23',2013-09,0.03
State,Maryland,24',2013-09,0.03
State,Massachusetts,25',2013-09,0.02
State,Michigan,26',2013-09,0.03
State,Minnesota,27',2013-09,0.02
State,Mississippi,28',2013-09,0.05
State,Missouri,29',2013-09,0.03
State,Montana,30',2013-09,0.02
State,Nebraska,31',2013-09,0.02
State,Nevada,32',2013-09,0.02
State,New Hampshire,33',2013-09,0.02
State,New Jersey,34',2013-09,0.03
State,New Mexico,35',2013-09,0.02
State,New York,36',2013-09,0.03
State,North Carolina,37',2013-09,0.03
State,North Dakota,38',2013-09,0.01
State,Ohio,39',2013-09,0.03
State,Oklahoma,40',2013-09,0.03
State,Oregon,41',2013-09,0.01
State,Pennsylvania,42',2013-09,0.03
State,Rhode Island,44',2013-09,0.03
State,South Carolina,45',2013-09,0.04
State,South Dakota,46',2013-09,0.02
State,Tennessee,47',2013-09,0.03
State,Texas,48',2013-09,0.03
State,Utah,49',2013-09,0.02
State,Vermont,50',2013-09,0.02
State,Virginia,51',2013-09,0.02
State,Washington,53',2013-09,0.02
State,West Virginia,54',2013-09,0.04
State,Wisconsin,55',2013-09,0.02
State,Wyoming,56',2013-09,0.02
National,United States,-----,2013-10,0.03
State,Alabama,01',2013-10,0.04
State,Alaska,02',2013-10,0.02
State,Arizona,04',2013-10,0.02
State,Arkansas,05',2013-10,0.04
State,California,06',2013-10,0.02
State,Colorado,08',2013-10,0.02
State,Connecticut,09',2013-10,0.03
State,Delaware,10',2013-10,0.03
State,District of Columbia,11',2013-10,0.02
State,Florida,12',2013-10,0.03
State,Georgia,13',2013-10,0.04
State,Hawaii,15',2013-10,0.02
State,Idaho,16',2013-10,0.02
State,Illinois,17',2013-10,0.03
State,Indiana,18',2013-10,0.03
State,Iowa,19',2013-10,0.02
State,Kansas,20',2013-10,0.02
State,Kentucky,21',2013-10,0.03
State,Louisiana,22',2013-10,0.04
State,Maine,23',2013-10,0.03
State,Maryland,24',2013-10,0.03
State,Massachusetts,25',2013-10,0.03
State,Michigan,26',2013-10,0.03
State,Minnesota,27',2013-10,0.02
State,Mississippi,28',2013-10,0.06
State,Missouri,29',2013-10,0.03
State,Montana,30',2013-10,0.02
State,Nebraska,31',2013-10,0.02
State,Nevada,32',2013-10,0.02
State,New Hampshire,33',2013-10,0.03
State,New Jersey,34',2013-10,0.03
State,New Mexico,35',2013-10,0.03
State,New York,36',2013-10,0.03
State,North Carolina,37',2013-10,0.04
State,North Dakota,38',2013-10,0.01
State,Ohio,39',2013-10,0.03
State,Oklahoma,40',2013-10,0.03
State,Oregon,41',2013-10,0.02
State,Pennsylvania,42',2013-10,0.04
State,Rhode Island,44',2013-10,0.03
State,South Carolina,45',2013-10,0.04
State,South Dakota,46',2013-10,0.02
State,Tennessee,47',2013-10,0.04
State,Texas,48',2013-10,0.04
State,Utah,49',2013-10,0.02
State,Vermont,50',2013-10,0.02
State,Virginia,51',2013-10,0.03
State,Washington,53',2013-10,0.02
State,West Virginia,54',2013-10,0.04
State,Wisconsin,55',2013-10,0.02
State,Wyoming,56',2013-10,0.03
National,United States,-----,2013-11,0.03
State,Alabama,01',2013-11,0.04
State,Alaska,02',2013-11,0.02
State,Arizona,04',2013-11,0.02
State,Arkansas,05',2013-11,0.04
State,California,06',2013-11,0.02
State,Colorado,08',2013-11,0.02
State,Connecticut,09',2013-11,0.03
State,Delaware,10',2013-11,0.03
State,District of Columbia,11',2013-11,0.02
State,Florida,12',2013-11,0.03
State,Georgia,13',2013-11,0.04
State,Hawaii,15',2013-11,0.02
State,Idaho,16',2013-11,0.02
State,Illinois,17',2013-11,0.02
State,Indiana,18',2013-11,0.03
State,Iowa,19',2013-11,0.02
State,Kansas,20',2013-11,0.02
State,Kentucky,21',2013-11,0.03
State,Louisiana,22',2013-11,0.04
State,Maine,23',2013-11,0.03
State,Maryland,24',2013-11,0.03
State,Massachusetts,25',2013-11,0.02
State,Michigan,26',2013-11,0.03
State,Minnesota,27',2013-11,0.02
State,Mississippi,28',2013-11,0.05
State,Missouri,29',2013-11,0.03
State,Montana,30',2013-11,0.02
State,Nebraska,31',2013-11,0.02
State,Nevada,32',2013-11,0.02
State,New Hampshire,33',2013-11,0.02
State,New Jersey,34',2013-11,0.03
State,New Mexico,35',2013-11,0.03
State,New York,36',2013-11,0.03
State,North Carolina,37',2013-11,0.03
State,North Dakota,38',2013-11,0.01
State,Ohio,39',2013-11,0.03
State,Oklahoma,40',2013-11,0.03
State,Oregon,41',2013-11,0.01
State,Pennsylvania,42',2013-11,0.03
State,Rhode Island,44',2013-11,0.03
State,South Carolina,45',2013-11,0.04
State,South Dakota,46',2013-11,0.02
State,Tennessee,47',2013-11,0.03
State,Texas,48',2013-11,0.03
State,Utah,49',2013-11,0.02
State,Vermont,50',2013-11,0.02
State,Virginia,51',2013-11,0.02
State,Washington,53',2013-11,0.01
State,West Virginia,54',2013-11,0.04
State,Wisconsin,55',2013-11,0.02
State,Wyoming,56',2013-11,0.02
National,United States,-----,2013-12,0.03
State,Alabama,01',2013-12,0.04
State,Alaska,02',2013-12,0.02
State,Arizona,04',2013-12,0.02
State,Arkansas,05',2013-12,0.04
State,California,06',2013-12,0.02
State,Colorado,08',2013-12,0.02
State,Connecticut,09',2013-12,0.03
State,Delaware,10',2013-12,0.03
State,District of Columbia,11',2013-12,0.02
State,Florida,12',2013-12,0.03
State,Georgia,13',2013-12,0.04
State,Hawaii,15',2013-12,0.02
State,Idaho,16',2013-12,0.02
State,Illinois,17',2013-12,0.03
State,Indiana,18',2013-12,0.03
State,Iowa,19',2013-12,0.02
State,Kansas,20',2013-12,0.03
State,Kentucky,21',2013-12,0.03
State,Louisiana,22',2013-12,0.05
State,Maine,23',2013-12,0.03
State,Maryland,24',2013-12,0.03
State,Massachusetts,25',2013-12,0.03
State,Michigan,26',2013-12,0.03
State,Minnesota,27',2013-12,0.02
State,Mississippi,28',2013-12,0.06
State,Missouri,29',2013-12,0.03
State,Montana,30',2013-12,0.02
State,Nebraska,31',2013-12,0.02
State,Nevada,32',2013-12,0.02
State,New Hampshire,33',2013-12,0.03
State,New Jersey,34',2013-12,0.03
State,New Mexico,35',2013-12,0.03
State,New York,36',2013-12,0.03
State,North Carolina,37',2013-12,0.04
State,North Dakota,38',2013-12,0.01
State,Ohio,39',2013-12,0.03
State,Oklahoma,40',2013-12,0.03
State,Oregon,41',2013-12,0.02
State,Pennsylvania,42',2013-12,0.04
State,Rhode Island,44',2013-12,0.03
State,South Carolina,45',2013-12,0.04
State,South Dakota,46',2013-12,0.02
State,Tennessee,47',2013-12,0.04
State,Texas,48',2013-12,0.04
State,Utah,49',2013-12,0.02
State,Vermont,50',2013-12,0.02
State,Virginia,51',2013-12,0.03
State,Washington,53',2013-12,0.02
State,West Virginia,54',2013-12,0.04
State,Wisconsin,55',2013-12,0.02
State,Wyoming,56',2013-12,0.02
National,United States,-----,2014-01,0.03
State,Alabama,01',2014-01,0.04
State,Alaska,02',2014-01,0.02
State,Arizona,04',2014-01,0.02
State,Arkansas,05',2014-01,0.04
State,California,06',2014-01,0.02
State,Colorado,08',2014-01,0.02
State,Connecticut,09',2014-01,0.03
State,Delaware,10',2014-01,0.03
State,District of Columbia,11',2014-01,0.02
State,Florida,12',2014-01,0.03
